% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 16:58
% Dimension:          1
% Nodes:              176
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
135,4.097453933905737E-31,-4.349430309605929E-31,4.72533839888882E-31,4.62955891284074E-31,-8.369908595361863E-32,2.9798427480421515E-32
135.99999999999997,4.0464713703536145E-31,-5.154780153493766E-31,5.59883578240926E-31,4.568502081811065E-31,-8.314885123596607E-32,3.1288381106516894E-32
136.99999999999997,3.793467563760274E-31,-5.99628554043021E-31,6.509702296194174E-31,4.289233691985806E-31,-8.257189437982198E-32,3.2774923286922306E-32
138,3.317411017284282E-31,-6.803444131532313E-31,7.381722647663629E-31,3.769505488113334E-31,-8.196469616916227E-32,3.4262449932910885E-32
139,2.6305375216504285E-31,-7.49538166376663E-31,8.127666888162152E-31,3.0230678638461054E-31,-8.132786317874183E-32,3.5752701322473485E-32
140,1.7825097858506924E-31,-8.00110148333213E-31,8.671216940101367E-31,2.1040266993330652E-31,-8.066168430506227E-32,3.7249028242852556E-32
141,8.499761176910264E-32,-8.279434323158048E-31,8.96842186977229E-31,1.095446080366348E-31,-7.996384915066542E-32,3.875130571923403E-32
141.99999999999997,-8.404763921251576E-33,-8.328042422284804E-31,9.017323951990883E-31,8.701848496549058E-33,-7.923470099672151E-32,4.026534239568461E-32
142.99999999999997,-9.508844316873325E-32,-8.177599613344218E-31,8.851512715359973E-31,-8.47251805605715E-32,-7.847181283709031E-32,4.179030574601091E-32
144,-1.707097233849249E-31,-7.876972915518488E-31,8.52408241831358E-31,-1.6607464008145631E-31,-7.767326085511917E-32,4.3330786796374466E-32
145,-2.334649703776221E-31,-7.477990472850983E-31,8.091157783732774E-31,-2.3342905028768564E-31,-7.683820626470036E-32,4.488682908108395E-32
146,-2.834669717269825E-31,-7.025468784302122E-31,7.601166719738947E-31,-2.8693645648349947E-31,-7.596351882036183E-32,4.6462193693873543E-32
147,-3.2193995710009256E-31,-6.553232798122832E-31,7.090597193578157E-31,-3.279388962909346E-31,-7.504562912369495E-32,4.8059130839470783E-32
147.99999999999997,-3.505839311501835E-31,-6.084339273557932E-31,6.584280107749604E-31,-3.582841359958822E-31,-7.408243093879297E-32,4.96799489121805E-32
148.99999999999997,-3.711647767361408E-31,-5.632949205243257E-31,6.09743258765971E-31,-3.7988548248336695E-31,-7.307127900310513E-32,5.132781841699426E-32
150,-3.852907098847709E-31,-5.206730158181747E-31,5.638271542535104E-31,-3.944823585840125E-31,-7.200654333762781E-32,5.300218609672985E-32
151,-3.9433893244901064E-31,-4.809118428221618E-31,5.210458037857883E-31,-4.035598354060567E-31,-7.088406687993969E-32,5.470767692355673E-32
152,-3.994323702657244E-31,-4.440791418011612E-31,4.814697305056819E-31,-4.0832721384966785E-31,-6.969943382093324E-32,5.644449508381965E-32
153,-4.014710235686705E-31,-4.100823821321435E-31,4.449984538812936E-31,-4.097505201873814E-31,-6.844665425794951E-32,5.821503386840743E-32
153.99999999999997,-4.01160639456999E-31,-3.7874321470212946E-31,4.114401521580179E-31,-4.085844096999811E-31,-6.711942928559993E-32,6.00215361088624E-32
154.99999999999997,-3.99050854861609E-31,-3.4984366088669157E-31,3.8056281546375386E-31,-4.054135892529979E-31,-6.571027956473161E-32,6.186420737446212E-32
156,-3.955727639026416E-31,-3.231523476984274E-31,3.5212162317476654E-31,-4.006927259838726E-31,-6.421138178841975E-32,6.374621911724577E-32
157,-3.9106051693235705E-31,-2.9844273889453916E-31,3.258798720754974E-31,-3.947698345075344E-31,-6.261391955540328E-32,6.56667248496719E-32
158,-3.8577759736181727E-31,-2.754998886811056E-31,3.0161585577298125E-31,-3.8791395823206505E-31,-6.090735281969599E-32,6.762615784131781E-32
159,-3.7993499033310944E-31,-2.5412365662045025E-31,2.7912791909005896E-31,-3.8033380180034145E-31,-5.908079229581423E-32,6.962437025170825E-32
159.99999999999997,-3.7370691856048542E-31,-2.341292336336022E-31,2.582357049408467E-31,-3.7219388511298385E-31,-5.712061738700161E-32,7.166058787024672E-32
160.99999999999997,-3.672438086683527E-31,-2.15345321508168E-31,2.3878064821145035E-31,-3.6362726843466573E-31,-5.501350445177819E-32,7.373194432010203E-32
162,-3.6068138668832743E-31,-1.976092879971575E-31,2.2062321340940675E-31,-3.547418377163945E-31,-5.27416651414878E-32,7.583593720600895E-32
163,-3.5415872982601473E-31,-1.8076056964730588E-31,2.0364159502373333E-31,-3.4563858762327015E-31,-5.028741289311112E-32,7.796680643520993E-32
