% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
96,5.802120964284386E-32,1.144443040874514E-31,4.722768063648218E-32,-1.2578031416307303E-31,3.3081331241023514E-32,-5.948068807170853E-32
96.5,6.057591012982205E-32,1.1679875870787646E-31,4.7271978547386156E-32,-1.2939609271588405E-31,3.2640934139736354E-32,-6.048911508080399E-32
97,6.325055338943158E-32,1.1915352011327985E-31,4.7235322491808333E-32,-1.3310277329284114E-31,3.217481896503209E-32,-6.148419888575176E-32
97.5,6.6050065431591E-32,1.2150296482033226E-31,4.7110241614500577E-32,-1.3690013449493495E-31,3.168380121467924E-32,-6.246512368001984E-32
97.99999999999999,6.897937124442892E-32,1.2384068875079822E-31,4.688869186697319E-32,-1.4078741717326465E-31,3.116833932659516E-32,-6.343102379059747E-32
98.49999999999999,7.204330132703163E-32,1.2615957436524267E-31,4.6562180044911585E-32,-1.447633000180104E-31,3.06292035102939E-32,-6.438099503544213E-32
98.99999999999999,7.524653482350376E-32,1.284516298432968E-31,4.6121682135797387E-32,-1.4882574719672545E-31,3.006707233723299E-32,-6.531402691283398E-32
99.5,7.859354141096268E-32,1.3070805745732992E-31,4.5557734802031035E-32,-1.5297201781518253E-31,2.948274076096541E-32,-6.622943051503466E-32
100,8.208848877265965E-32,1.3291903645068735E-31,4.4860345089790104E-32,-1.5719843953160868E-31,2.887696275130757E-32,-6.712627408747231E-32
100.5,8.573512475873863E-32,1.3507381905709656E-31,4.4019139945289497E-32,-1.6150039771625075E-31,2.825072256937739E-32,-6.800399278176067E-32
100.99999999999999,8.953665511080137E-32,1.3716054974302397E-31,4.302331933667138E-32,-1.6587211845246866E-31,2.760479884910834E-32,-6.886190149188229E-32
101.49999999999999,9.349560041283749E-32,1.391662549210073E-31,4.1861747560250705E-32,-1.703065589336563E-31,2.694008229485782E-32,-6.969934026314047E-32
101.99999999999999,9.761361411796535E-32,1.4107681314943523E-31,4.0523065809996746E-32,-1.7479524970811365E-31,2.6257482902610596E-32,-7.051584760904336E-32
102.5,1.0189130876629205E-31,1.4287694712856062E-31,3.899579871900211E-32,-1.7932817004533176E-31,2.555796326960709E-32,-7.131093603777482E-32
103,1.0632798395021878E-31,1.4455008050769923E-31,3.7268443389519244E-32,-1.8389344982891855E-31,2.484239312747685E-32,-7.208403581696234E-32
103.5,1.109215425459859E-31,1.460786205744109E-31,3.532974252300278E-32,-1.8847750429258583E-31,2.411160009246427E-32,-7.283516141070362E-32
103.99999999999999,1.1566796702721275E-31,1.4744366495078318E-31,3.316881216248531E-32,-1.9306444511682833E-31,2.3366675762574995E-32,-7.356361306873813E-32
104.49999999999999,1.205612183691044E-31,1.4862538055247686E-31,3.077551666923367E-32,-1.976362809077717E-31,2.2608715647431052E-32,-7.426920736686632E-32
104.99999999999999,1.2559291283000548E-31,1.4960296890618042E-31,2.8140657338477805E-32,-2.021726610812915E-31,2.1838162810426906E-32,-7.495193693518145E-32
105.5,1.3075184022117829E-31,1.5035493394456375E-31,2.5256495638996324E-32,-2.0665069724126244E-31,2.1056397056978128E-32,-7.561150939552499E-32
106,1.360237859893469E-31,1.5085930489242802E-31,2.2117046106205466E-32,-2.110450110151104E-31,2.026410467115612E-32,-7.624785063257669E-32
106.5,1.4139114094030076E-31,1.5109396048751682E-31,1.871859080159688E-32,-2.153276623249521E-31,1.9462264367001778E-32,-7.686092948520052E-32
106.99999999999999,1.4683251263144157E-31,1.510372025561415E-31,1.5060358680707308E-32,-2.1946827889443537E-31,1.8651720952991233E-32,-7.745096430588298E-32
107.49999999999999,1.523223517801242E-31,1.5066788037599213E-31,1.1144871592580055E-32,-2.234338653768968E-31,1.783333638154602E-32,-7.801750896815194E-32
107.99999999999999,1.5783088992963163E-31,1.4996643816705717E-31,6.978761948614793E-33,-2.271894964616012E-31,1.700795050575638E-32,-7.856064417906062E-32
108.5,1.6332410446027559E-31,1.4891559085113194E-31,2.5732881796556143E-33,-2.3069877059216957E-31,1.617641399603603E-32,-7.908090851741055E-32
109,1.6876319137074675E-31,1.4750100111343736E-31,-2.054814218203288E-33,-2.339238901573148E-31,1.533939247090691E-32,-7.957855523926493E-32
109.5,1.7410492434513972E-31,1.4571205996923536E-31,-6.883025345455127E-33,-2.3682646872584644E-31,1.449765810433115E-32,-8.005337580447654E-32
109.99999999999999,1.7930186739908095E-31,1.4354309185655905E-31,-1.188228718903902E-32,-2.393685465697253E-31,1.3652097832971862E-32,-8.050583679536905E-32
110.49999999999999,1.8430281140013236E-31,1.4099436253639869E-31,-1.701660234100532E-32,-2.415135962358088E-31,1.2803325245488473E-32,-8.093610435594863E-32
110.99999999999999,1.890533591136256E-31,1.3807301420033398E-31,-2.224275251412365E-32,-2.432276220002792E-31,1.1951881277958137E-32,-8.134454496733971E-32
111.5,1.9349699746429147E-31,1.3479406832829808E-31,-2.751032731887764E-32,-2.4448061730855083E-31,1.1098509757476725E-32,-8.173140118074421E-32
112,1.975759428062228E-31,1.3118113963488836E-31,-3.276178058703668E-32,-2.452477147010035E-31,1.0243859299403212E-32,-8.209705734807033E-32
112.5,2.012329216872126E-31,1.2726737716936103E-31,-3.7933025523937694E-32,-2.4551110855715843E-31,9.388320247104815E-33,-8.244185581991522E-32
112.99999999999999,2.044123542832003E-31,1.2309567699411466E-31,-4.29540688876856E-32,-2.452610892996587E-31,8.532663241082517E-33,-8.276618481869433E-32
113.49999999999999,2.070623741865044E-31,1.1871883140240078E-31,-4.7750352764271733E-32,-2.4449761318836073E-31,7.677257121439703E-33,-8.307029117524545E-32
113.99999999999999,2.0913677044471914E-31,1.1419939687283238E-31,-5.224418546288824E-32,-2.4323162576311035E-31,6.822498684142003E-33,-8.335481402642932E-32
114.5,2.1059647215407905E-31,1.0960899202362036E-31,-5.635631816929933E-32,-2.4148565139651493E-31,5.968929086152119E-33,-8.362000996119767E-32
115,2.114115823832991E-31,1.050272788538839E-31,-6.00080834680492E-32,-2.392945703702407E-31,5.116984086280343E-33,-8.386629310883078E-32
115.5,2.1156294220567887E-31,1.0054049488457456E-31,-6.312358142165086E-32,-2.367057383563779E-31,4.266923573362828E-33,-8.409424793022198E-32
115.99999999999999,2.1104322674980682E-31,9.623972598754314E-32,-6.563170580238827E-32,-2.337785671768198E-31,3.4191695432783096E-33,-8.430415913611723E-32
116.49999999999999,2.0985797324687835E-31,9.221909655089707E-32,-6.746817411176041E-32,-2.305840275202858E-31,2.5740989719680462E-33,-8.44965496120877E-32
116.99999999999999,2.080259795570726E-31,8.857312834666252E-32,-6.857774647595043E-32,-2.272030853267063E-31,1.7317464921194026E-33,-8.467175767170253E-32
117.5,2.055793680677216E-31,8.539523237409455E-32,-6.891537492933139E-32,-2.237257200724489E-31,8.924844582622242E-34,-8.483028970207941E-32
118,2.0256288237142157E-31,8.277484936913278E-32,-6.844778548551856E-32,-2.202484007898992E-31,5.645318376834768E-35,-8.4972636084033E-32
118.5,1.9903310037932123E-31,8.079635157301713E-32,-6.71537732268495E-32,-2.1687275382152674E-31,-7.758539086052934E-34,-8.509907535637871E-32
