% Model:              2D-Au-Plate_from_psi.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:26
% Dimension:          1
% Nodes:              100
% Expressions:        6
% Description:        Table graph
% psi,real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
2.53866073017357,-3.3642607553571385E-23,1.334719081447519E-23,-1.756822248879002E-23,4.4519802475475816E-23,9.145513888496037E-24,-1.4838447580088187E-23
2.57039398930074,-3.286724956291447E-23,1.2538037358156848E-23,-1.7856147923648096E-23,4.5249437103891986E-23,9.079130530711352E-24,-1.4302841007354973E-23
2.6021272484279097,-3.21045645094456E-23,1.1675348587961762E-23,-1.8131467013321015E-23,4.594712587108591E-23,9.033052367076424E-24,-1.3750214988599392E-23
2.633860507555079,-3.13543452288745E-23,1.0762726497565092E-23,-1.8393661333101883E-23,4.6611555031989586E-23,9.006162416218996E-24,-1.3181900474468731E-23
2.6655937666822487,-3.0616432713502496E-23,9.803567581840436E-24,-1.8642250408713558E-23,4.7241507012097615E-23,8.997421450677134E-24,-1.2599162944481661E-23
2.6973270258094186,-2.98907207611059E-23,8.801087098273366E-24,-1.887678979656866E-23,4.7835855542615525E-23,9.00586280687128E-24,-1.200321311184099E-23
2.729060284936588,-2.917715904912676E-23,7.758340444976664E-24,-1.909686943318172E-23,4.8393561477701004E-23,9.030587417266333E-24,-1.139521606171812E-23
2.7607935440637577,-2.847575503991601E-23,6.678241967948259E-24,-1.930211221762177E-23,4.89136692022365E-23,9.070759131356714E-24,-1.0776299060534084E-23
2.792526803190927,-2.77865750349474E-23,5.563581489610155E-24,-1.949217279578229E-23,4.939530355104284E-23,9.125600364147849E-24,-1.014755824050582E-23
2.824260062318097,-2.71097446272045E-23,4.417038826929179E-24,-1.9666736519621216E-23,4.983766717147605E-23,9.194388091075438E-24,-9.510064334777474E-24
2.8559933214452666,-2.6445448747169923E-23,3.2411965429686975E-24,-1.9825518558269797E-23,5.0240038270873003E-23,9.276450194633223E-24,-8.864867613552558E-24
2.887726580572436,-2.5793931456229975E-23,2.0385511518251947E-24,-1.9968263141273725E-23,5.0601768698856734E-23,9.371162158742138E-24,-8.213002150412619E-24
2.9194598396996057,-2.515549560891382E-23,8.115229745089468E-25,-2.0094742917120596E-23,5.0922282321761074E-23,9.477944100877053E-24,-7.555489530058396E-24
2.9511930988267756,-2.453050248058978E-23,-4.37535177166766E-25,-2.0204758412744097E-23,5.1201073652955786E-23,9.596258128270854E-24,-6.893342093644325E-24
2.982926357953945,-2.3919371438257796E-23,-1.706330329969966E-24,-2.0298137581947257E-23,5.143770670851412E-23,9.725606002468526E-24,-6.227565805331066E-24
3.0146596170811146,-2.3322579717698508E-23,-2.9926225493061045E-24,-2.037473543264861E-23,5.163181406259858E-23,9.865527095614548E-24,-5.559162813329488E-24
3.0463928762082846,-2.2740662359660783E-23,-4.2942188812911015E-24,-2.0434433724606852E-23,5.178309608147141E-23,1.001559662175371E-23,-4.889133770262885E-24
3.078126135335454,-2.2174212349968152E-23,-5.608967919968558E-24,-2.0477140730851232E-23,5.189132031892883E-23,1.0175424126842391E-23,-4.2184799708931634E-24
3.1098593944626236,-2.162388100308965E-23,-6.934754892596281E-24,-2.05027910574668E-23,5.19563210596176E-23,1.0344652221898264E-23,-3.548205359935866E-24
3.141592653589793,-2.1090378625192186E-23,-8.26949716369212E-24,-2.0511345517687587E-23,5.1977998999975113E-23,1.0522955544607594E-23,-2.8793184586641907E-24
