% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
154.99999999999997,-2.9292948378293976E-23,-1.5231852624926662E-23,-2.6614271654571114E-23,9.781099011281146E-24,-2.360158234136949E-23,2.1746642398418314E-23
155.5,-2.9400912683632065E-23,-1.3610230448629108E-23,-2.5672969858885105E-23,1.0881710552232055E-23,-2.355347315598601E-23,2.1711105439273715E-23
156,-2.9453681782878827E-23,-1.2061156035116101E-23,-2.4743539804554358E-23,1.1898056052227868E-23,-2.3509903340660335E-23,2.1678792121200493E-23
156.5,-2.945728573359714E-23,-1.0581343453654511E-23,-2.3827900683510655E-23,1.2836097433589489E-23,-2.347071557004188E-23,2.1649653140433582E-23
157,-2.941692269168023E-23,-9.167650106756393E-24,-2.2927531196249854E-23,1.370114169061969E-23,-2.3435755798359316E-23,2.1623623169217575E-23
157.49999999999997,-2.933724978852966E-23,-7.816921476546704E-24,-2.2043557860035235E-23,1.449814474968689E-23,-2.3404879502296073E-23,2.1600661911857967E-23
158,-2.9222287751732316E-23,-6.526169937932929E-24,-2.1176815597268664E-23,1.523152571960622E-23,-2.3377955208973688E-23,2.1580739635226125E-23
158.5,-2.9075604316162007E-23,-5.292618436204182E-24,-2.032800019607483E-23,1.590525485079057E-23,-2.3354894352660982E-23,2.1563853507096133E-23
159,-2.890027855658151E-23,-4.113510473148867E-24,-1.9497520945994798E-23,1.6522946654851095E-23,-2.3335568181303905E-23,2.1549980709351686E-23
159.5,-2.869902140883182E-23,-2.9863366723795113E-24,-1.868573357316903E-23,1.708779873940289E-23,-2.331990116016766E-23,2.1539137695885483E-23
159.99999999999997,-2.8474207170115837E-23,-1.908695814826301E-24,-1.7892881952860072E-23,1.7602700587943032E-23,-2.3307810247410925E-23,2.1531369253124874E-23
160.5,-2.822778402792762E-23,-8.78390496098634E-25,-1.7119088792526636E-23,1.8070070357172846E-23,-2.3299240570507454E-23,2.152667830682197E-23
160.99999999999997,-2.796149646052931E-23,1.065972082892485E-25,-1.636452319366004E-23,1.8492065863721408E-23,-2.3294137837250566E-23,2.152512592235931E-23
161.5,-2.76769315535033E-23,1.0482330576845034E-24,-1.562933332422006E-23,1.887068413260028E-23,-2.3292453376645088E-23,2.1526826953568105E-23
162,-2.737526543170619E-23,1.9481849961815884E-24,-1.4913664135336672E-23,1.920737881224249E-23,-2.329416277706187E-23,2.1531856410274575E-23
162.5,-2.705757052882391E-23,2.807995261314412E-24,-1.4217766709554602E-23,1.9503422558005977E-23,-2.3299256234259226E-23,2.15403603395245E-23
163,-2.672466833018318E-23,3.628975185170863E-24,-1.3541991699107987E-23,1.9759683393186738E-23,-2.3307747462207553E-23,2.155247266378144E-23
163.49999999999997,-2.637721842493609E-23,4.412277515588603E-24,-1.2886820128531122E-23,1.997677903843059E-23,-2.3319652092094762E-23,2.1568418848405337E-23
164,-2.6015699111739126E-23,5.158858154129567E-24,-1.2252920142396058E-23,2.0154964053647536E-23,-2.3335011542766393E-23,2.1588424470990167E-23
164.49999999999997,-2.5640394042448952E-23,5.869405963131752E-24,-1.1641239345375828E-23,2.029408741655491E-23,-2.3353880693595812E-23,2.1612760077642395E-23
165,-2.5251440289932992E-23,6.544322588001556E-24,-1.1053109070885843E-23,2.039360235625089E-23,-2.3376347848609379E-23,2.16417835534056E-23
