% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 12 2026, 16:24
% Dimension:          1
% Nodes:              131
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
115,-6.007477730662334E-23,2.0117773065577068E-24,1.47486918587089E-24,6.075884180331527E-23,3.8102383517717734E-23,-1.5478439586358326E-23
115.5,-6.153493719621693E-23,4.88905615087016E-24,4.312402289175369E-24,6.220261553917368E-23,4.1254837431199956E-23,-1.7809823551298742E-23
115.99999999999999,-6.281648266876586E-23,7.935728185206872E-24,7.3134804914077E-24,6.346874285149821E-23,4.476761998797742E-23,-2.0672403628205825E-23
116.49999999999999,-6.39009579310181E-23,1.1136222219662852E-23,1.0462327173284981E-23,6.453941458082988E-23,4.867666665788709E-23,-2.422994126585965E-23
116.99999999999999,-6.477210751394063E-23,1.4472714833802993E-23,1.3740971005030882E-23,6.539905843678038E-23,5.300529298210077E-23,-2.870834289331755E-23
117.5,-6.54163664585377E-23,1.792555632238101E-23,1.712970721748745E-23,6.603481842474547E-23,5.774411517791743E-23,-3.4421683388929486E-23
118,-6.582291675012437E-23,2.1473930969871886E-23,2.0607726468604262E-23,6.643660755120837E-23,6.281042363561201E-23,-4.180708531482085E-23
118.5,-6.598398475012879E-23,2.5096227362531292E-23,2.4153508267816182E-23,6.659738654502526E-23,6.796708433277927E-23,-5.1465171271285184E-23
118.99999999999999,-6.589462484742365E-23,2.8770837833836693E-23,2.774560339018478E-23,6.651293181136571E-23,7.266666328268629E-23,-6.418652352253982E-23
119.49999999999999,-6.555272759953154E-23,3.2476448251676014E-23,3.1362925475805125E-23,6.618185529109222E-23,7.576857747466901E-23,-8.089678539042919E-23
120,-6.49586481607731E-23,3.619282841409715E-23,3.4985532817528326E-23,6.560522138284125E-23,7.510450190606957E-23,-1.0233584460764614E-22
120.49999999999999,-6.411485751686541E-23,3.990091022828634E-23,3.859468640499554E-23,6.478615664410914E-23,6.709586385979864E-23,-1.2809322841126617E-22
121,-6.302555663971195E-23,4.358329498589231E-23,4.217338238230965E-23,6.372952522446903E-23,4.736085895044317E-23,-1.5471803857572068E-22
121.49999999999999,-6.169625542987726E-23,4.7224322513406084E-23,4.570637769535758E-23,6.24414757463515E-23,1.4048196529963126E-23,-1.7425961617197243E-22
121.99999999999999,-6.013316811830222E-23,5.0810249059176176E-23,4.91803892001808E-23,6.092883628564261E-23,-2.7154012876401586E-23,-1.7762081746360999E-22
122.5,-5.834282680176163E-23,5.4329133267742E-23,5.2583964215912766E-23,5.919875025647887E-23,-6.43084380497158E-23,-1.6298585502798349E-22
122.99999999999999,-5.633165735339092E-23,5.777081976267309E-23,5.590746384002322E-23,5.725825015624618E-23,-8.887442071381467E-23,-1.378672603229905E-22
123.5,-5.410553053992239E-23,6.112657889941037E-23,5.914271407554914E-23,5.511381321703761E-23,-1.0056650463485625E-22,-1.113346172748924E-22
123.99999999999999,-5.166937593634414E-23,6.438902801087992E-23,6.22829191847563E-23,5.277099149810428E-23,-1.034180981720727E-22,-8.834079953736487E-23
124.5,-4.9027080683231736E-23,6.755165519615818E-23,6.532220479000558E-23,5.02343186759878E-23,-1.0143128969268025E-22,-7.009898666017536E-23
125,-4.618099880284081E-23,7.060848278882878E-23,6.825527507316427E-23,4.7506811635683055E-23,-9.722528350762905E-23,-5.612346327087513E-23
