% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 12 2026, 16:24
% Dimension:          1
% Nodes:              131
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
113.49999999999999,2.0706237418653334E-31,1.1871883140239875E-31,1.3912132202571585E-31,-2.0665051851307024E-31,7.67725712144294E-33,-8.307029117524385E-32
113.99999999999999,2.091367704446079E-31,1.1419939687286612E-31,1.3504851415780491E-31,-2.0893294979439952E-31,6.822498684139878E-33,-8.335481402643199E-32
114.5,2.105964721540876E-31,1.0960899202361918E-31,1.3090620692150546E-31,-2.106060764019544E-31,5.9689290861525856E-33,-8.362000996119764E-32
115,2.114115823833601E-31,1.05027278853864E-31,1.2677469066363195E-31,-2.1163893615624123E-31,5.1169840862794894E-33,-8.386629310883132E-32
115.5,2.1156294220570225E-31,1.005404948845839E-31,1.2274112026154097E-31,-2.1201134521361815E-31,4.266923573361945E-33,-8.409424793022206E-32
115.99999999999999,2.1104322674975843E-31,9.623972598759766E-32,1.1889778591315069E-31,-2.11715034380456E-31,3.41916954327876E-33,-8.430415913611728E-32
116.49999999999999,2.0985797324681354E-31,9.221909655095599E-32,1.1534032606426305E-31,-2.1075473292153994E-31,2.5740989719773835E-33,-8.44965496120891E-32
116.99999999999999,2.0802597955709438E-31,8.857312834660652E-32,1.1216505276937565E-31,-2.0914863191271127E-31,1.731746492119777E-33,-8.467175767170244E-32
117.5,2.0557936806773206E-31,8.539523237408901E-32,1.0946744484852084E-31,-2.06928502729626E-31,8.92484458262883E-34,-8.483028970207251E-32
118,2.0256288237141386E-31,8.277484936909865E-32,1.0733924446997196E-31,-2.041390310180414E-31,5.645318376820248E-35,-8.497263608403362E-32
118.5,1.9903310037932833E-31,8.079635157301623E-32,1.0586730645083259E-31,-2.0083708331277504E-31,-7.758539086018603E-34,-8.509907535637792E-32
118.99999999999999,1.9505750680399216E-31,7.953660902151084E-32,1.0513116117380827E-31,-1.9709082408888582E-31,-1.604535339468839E-33,-8.521032244548836E-32
119.49999999999999,1.9071245440363828E-31,7.906436499139973E-32,1.0520230395741342E-31,-1.9297769286547672E-31,-2.4295013011326045E-33,-8.53064801475372E-32
120,1.8608180719870538E-31,7.943932100812719E-32,1.061432559036327E-31,-1.8858306967909243E-31,-3.249994303030149E-33,-8.538791871297888E-32
120.49999999999999,1.812559454914384E-31,8.071095147713781E-32,1.080063155253397E-31,-1.8399930597152548E-31,-4.0668721971753304E-33,-8.545538051252835E-32
121,1.7632912549130036E-31,8.291978881612615E-32,1.1083481015830575E-31,-1.793230958458637E-31,-4.879477800944749E-33,-8.550918716169583E-32
121.49999999999999,1.7139884659456486E-31,8.609642491749437E-32,1.1466205286713583E-31,-1.746548214583615E-31,-5.6880476759805384E-33,-8.554958295992019E-32
121.99999999999999,1.6656467680561153E-31,9.026281292640859E-32,1.195125957563849E-31,-1.7009742898315855E-31,-6.492421896802473E-33,-8.557712987634077E-32
122.5,1.6192720203732546E-31,9.543263411402693E-32,1.2540257205133654E-31,-1.6575536481862753E-31,-7.292643395878961E-33,-8.559211698337208E-32
122.99999999999999,1.575877289583942E-31,1.0161210090190445E-31,1.3234044773833637E-31,-1.6173428527488472E-31,-8.088578480319814E-33,-8.559481358778868E-32
123.5,1.5364827415745922E-31,1.0880072736606474E-31,1.4032777291210418E-31,-1.581410723614938E-31,-8.880478097362851E-33,-8.558571307055394E-32
123.99999999999999,1.5021143935543552E-31,1.1699212580261397E-31,1.4935992239576316E-31,-1.5508372979331313E-31,-9.668217632411086E-33,-8.556522129858363E-32
124.5,1.4738095430873995E-31,1.261743065565173E-31,1.5942634259301956E-31,-1.526719508162534E-31,-1.0451871016508722E-32,-8.553344419914746E-32
125,1.452626175838666E-31,1.363300091443245E-31,1.7051084404498226E-31,-1.5101809876810575E-31,-1.1231702336245125E-32,-8.549092616248969E-32
125.49999999999999,1.4396483421914007E-31,1.4743701634081588E-31,1.8259183608361023E-31,-1.5023779914361513E-31,-1.2007551368375443E-32,-8.543784040920642E-32
