% Model,2D-Au-Plate.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 8 2025, 17:11"
% Table,Table 6 - Point Evaluation 3
% lambda0 (nm),M,"real(ewfd.relHphi) (A/m), Point: 13","imag(ewfd.relHphi) (A/m), Point: 13"
1064,1,5.006391678625114E-6,6.444716693435133E-6
1064,2,6.043521150116049E-8,5.694524872609394E-8
1070,-2,-2.460722235088996E-7,3.0571752052565314E-6
1070,-1,4.576942425190596E-4,-1.2787381591809006E-4
1070,0,1.581459729083526E-4,4.4329056877064645E-5
1070,1,4.332021744180811E-6,6.468892403050714E-6
1070,2,5.493636352156377E-8,6.028532963901509E-8
1076,-2,-4.4913034172611287E-7,2.9116482970429733E-6
1076,-1,4.6949254166310837E-4,-6.251688165376854E-5
1076,0,1.5451852047401634E-4,5.76503382491451E-5
1076,1,3.72929116911055E-6,6.456041479882362E-6
1076,2,4.9450096020670714E-8,6.297570312282285E-8
1081.9999999999998,-2,-6.312951364160719E-7,2.7595809071315486E-6
1081.9999999999998,-1,4.710157936247824E-4,2.6367156689217753E-6
1081.9999999999998,0,1.498022620815308E-4,7.056968427941228E-5
1081.9999999999998,1,3.1919151441112126E-6,6.422351506876876E-6
1081.9999999999998,2,4.403856857979887E-8,6.507058066086895E-8
1087.9999999999998,-2,-7.934569277964564E-7,2.6032979744264427E-6
1087.9999999999998,-1,4.628027260559895E-4,6.56551917463233E-5
1087.9999999999998,0,1.4404971330441655E-4,8.299027007610675E-5
1087.9999999999998,1,2.7113080391758184E-6,6.380576574502021E-6
1087.9999999999998,2,3.8752061811995725E-8,6.662633477925944E-8
1094,-2,-9.359621364037967E-7,2.442510467909104E-6
1094,-1,4.4512671136069345E-4,1.259696480093121E-4
1094,0,1.3725424663069044E-4,9.486075438301943E-5
1094,1,2.263159213398684E-6,6.335440490349738E-6
1094,2,3.357912169489527E-8,6.761389898998091E-8
1100,-2,-1.0599166389112196E-6,2.2797632787255936E-6
1100,-1,4.188708530725498E-4,1.8179329704196007E-4
1100,0,1.2949733379807938E-4,1.0608837900667014E-4
1100,1,1.8414347607130774E-6,6.289566204062699E-6
1100,2,2.86016067760554E-8,6.81196512183512E-8
