% Model:              2D-Au-Plate_from_psi.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:26
% Dimension:          1
% Nodes:              100
% Expressions:        6
% Description:        Table graph
% psi,real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
2.7607935440637577,2.118178450065816E-31,1.7286702267334583E-31,2.292183926237352E-32,-1.6068203929137871E-31,1.8902193885048626E-32,-1.0274015036534016E-31
2.792526803190927,2.1390353498873643E-31,1.7456917868113367E-31,2.7293912357978785E-32,-1.548705453114754E-31,1.9088316619068896E-32,-1.0375179365901903E-31
2.824260062318097,2.158191653292426E-31,1.7613254702479656E-31,3.185571872150443E-32,-1.490585763832899E-31,1.9259263576381698E-32,-1.04680951205787E-31
2.8559933214452666,2.175616103462969E-31,1.7755457679882812E-31,3.6594280487059575E-32,-1.432522985042218E-31,1.9414755827497483E-32,-1.055261069246072E-31
2.887726580572436,2.1912806326178162E-31,1.7883297735875013E-31,4.1497183920098063E-32,-1.3745800976535267E-31,1.9554542901241212E-32,-1.0628589941551944E-31
2.9194598396996057,2.205160291618229E-31,1.7996571257614901E-31,4.6552527784612884E-32,-1.3168215848828335E-31,1.9678402156572292E-32,-1.0695911854522863E-31
2.9511930988267756,2.2172331906551525E-31,1.8095099599807847E-31,5.17488776994512E-32,-1.259313588190219E-31,1.9786138253282217E-32,-1.0754470257019816E-31
2.982926357953945,2.227480449694002E-31,1.8178728680282988E-31,5.707522581978642E-32,-1.2021240450049165E-31,1.987758270978763E-32,-1.0804173573303493E-31
3.0146596170811146,2.2358861575692683E-31,1.8247328646155243E-31,6.252095523426013E-32,-1.1453228143851201E-31,1.995259353807559E-32,-1.0844944627838863E-31
3.0463928762082846,2.242437338813403E-31,1.8300793603115384E-31,6.807580851887875E-32,-1.0889817959289055E-31,2.0011054947711265E-32,-1.0876720484404186E-31
3.078126135335454,2.2471239274765263E-31,1.8339041401768287E-31,7.372985993412171E-32,-1.0331750466165346E-31,2.0052877112207253E-32,-1.0899452319105705E-31
3.1098593944626236,2.249938747350173E-31,1.836201347623716E-31,7.947349079139484E-32,-9.779788997876404E-32,2.0077995992536983E-32,-1.0913105324453965E-31
3.141592653589793,2.2508774981505226E-31,1.8369674731400682E-31,8.529736754816929E-32,-9.234720901183112E-32,2.0086373213839027E-32,-1.0917658642347359E-31
